oaaclassifier
oaaclassifier: loading data...
oaaclassifier: processing labels...
    converting training labels...
oaaclassifier: training perceptrons (9)...
    percep. 1, itr 27200, error 21.2200638, diff 0.000217
    percep. 1, itr 27300, error 21.1984256, diff 0.000216
    percep. 1, itr 27400, error 21.1768913, diff 0.000215
    percep. 1, itr 27500, error 21.1554600, diff 0.000214
    percep. 1, itr 27600, error 21.1341310, diff 0.000213
    percep. 1, itr 27700, error 21.1129035, diff 0.000212
    percep. 1, itr 27800, error 21.0917766, diff 0.000211
    percep. 1, itr 27900, error 21.0707496, diff 0.000210
    percep. 1, itr 28000, error 21.0498218, diff 0.000209
    percep. 1, itr 28100, error 21.0289923, diff 0.000208
    percep. 1, itr 28200, error 21.0082604, diff 0.000207
    percep. 1, itr 28300, error 20.9876253, diff 0.000206
    percep. 1, itr 28400, error 20.9670864, diff 0.000205
    percep. 1, itr 28500, error 20.9466429, diff 0.000204
    percep. 1, itr 28600, error 20.9262940, diff 0.000203
    percep. 1, itr 28700, error 20.9060390, diff 0.000202
    percep. 1, itr 28800, error 20.8858773, diff 0.000201
    percep. 1, itr 28900, error 20.8658081, diff 0.000200
    percep. 1, itr 29000, error 20.8458308, diff 0.000199
    percep. 1, itr 29100, error 20.8259446, diff 0.000198
    percep. 1, itr 29200, error 20.8061488, diff 0.000198
    percep. 1, itr 29300, error 20.7864428, diff 0.000197
    percep. 1, itr 29400, error 20.7668260, diff 0.000196
    percep. 1, itr 29500, error 20.7472975, diff 0.000195
    percep. 1, itr 29600, error 20.7278569, diff 0.000194
    percep. 1, itr 29700, error 20.7085034, diff 0.000193
    percep. 1, itr 29800, error 20.6892364, diff 0.000192
    percep. 1, itr 29900, error 20.6700553, diff 0.000191
    percep. 1, itr 30000, error 20.6509594, diff 0.000191
    percep. 2, itr 1, error 3571.9250388, diff 0.000000
    percep. 2, itr 100, error 353.4137222, diff 0.552577
    percep. 2, itr 200, error 320.2500885, diff 0.209271
    percep. 2, itr 300, error 304.4231424, diff 0.122556
    percep. 2, itr 400, error 294.2413680, diff 0.085699
    percep. 2, itr 500, error 286.7703508, diff 0.065659
    percep. 2, itr 600, error 280.8812534, diff 0.053115
    percep. 2, itr 700, error 276.0276857, diff 0.044534
    percep. 2, itr 800, error 271.9043646, diff 0.038300
    percep. 2, itr 900, error 268.3235659, diff 0.033566
    percep. 2, itr 1000, error 265.1617446, diff 0.029848
    percep. 2, itr 1100, error 262.3333423, diff 0.026851
    percep. 2, itr 1200, error 259.7766826, diff 0.024383
    percep. 2, itr 1300, error 257.4458307, diff 0.022313
    percep. 2, itr 1400, error 255.3056367, diff 0.020554
    percep. 2, itr 1500, error 253.3285844, diff 0.019039
    percep. 2, itr 1600, error 251.4927134, diff 0.017721
    percep. 2, itr 1700, error 249.7802059, diff 0.016565
    percep. 2, itr 1800, error 248.1763988, diff 0.015542
    percep. 2, itr 1900, error 246.6690754, diff 0.014631
    percep. 2, itr 2000, error 245.2479472, diff 0.013814
    percep. 2, itr 2100, error 243.9042673, diff 0.013079
    percep. 2, itr 2200, error 242.6305361, diff 0.012413
    percep. 2, itr 2300, error 241.4202750, diff 0.011808
    percep. 2, itr 2400, error 240.2678497, diff 0.011255
    percep. 2, itr 2500, error 239.1683295, diff 0.010748
    percep. 2, itr 2600, error 238.1173756, diff 0.010282
    percep. 2, itr 2700, error 237.1111508, diff 0.009852
    percep. 2, itr 2800, error 236.1462452, diff 0.009455
    percep. 2, itr 2900, error 235.2196158, diff 0.009086
    percep. 2, itr 3000, error 234.3285362, diff 0.008743
    percep. 2, itr 3100, error 233.4705549, diff 0.008423
    percep. 2, itr 3200, error 232.6434596, diff 0.008125
    percep. 2, itr 3300, error 231.8452478, diff 0.007845
    percep. 2, itr 3400, error 231.0741017, diff 0.007583
    percep. 2, itr 3500, error 230.3283662, diff 0.007337
    percep. 2, itr 3600, error 229.6065305, diff 0.007105
    percep. 2, itr 3700, error 228.9072122, diff 0.006886
    percep. 2, itr 3800, error 228.2291435, diff 0.006679
    percep. 2, itr 3900, error 227.5711590, diff 0.006484
    percep. 2, itr 4000, error 226.9321851, diff 0.006299
    percep. 2, itr 4100, error 226.3112312, diff 0.006123
    percep. 2, itr 4200, error 225.7073809, diff 0.005957
    percep. 2, itr 4300, error 225.1197856, diff 0.005798
    percep. 2, itr 4400, error 224.5476576, diff 0.005647
    percep. 2, itr 4500, error 223.9902646, diff 0.005503
    percep. 2, itr 4600, error 223.4469250, diff 0.005366
    percep. 2, itr 4700, error 222.9170029, diff 0.005235
    percep. 2, itr 4800, error 222.3999047, diff 0.005109
    percep. 2, itr 4900, error 221.8950750, diff 0.004989
    percep. 2, itr 5000, error 221.4019938, diff 0.004874
    percep. 2, itr 5100, error 220.9201734, diff 0.004764
    percep. 2, itr 5200, error 220.4491556, diff 0.004658
    percep. 2, itr 5300, error 219.9885098, diff 0.004556
    percep. 2, itr 5400, error 219.5378307, diff 0.004459
    percep. 2, itr 5500, error 219.0967361, diff 0.004365
    percep. 2, itr 5600, error 218.6648654, diff 0.004274
    percep. 2, itr 5700, error 218.2418781, diff 0.004187
    percep. 2, itr 5800, error 217.8274521, diff 0.004103
    percep. 2, itr 5900, error 217.4212824, diff 0.004022
    percep. 2, itr 6000, error 217.0230802, diff 0.003943
    percep. 2, itr 6100, error 216.6325714, diff 0.003868
    percep. 2, itr 6200, error 216.2494958, diff 0.003795
    percep. 2, itr 6300, error 215.8736061, diff 0.003724
    percep. 2, itr 6400, error 215.5046673, diff 0.003656
    percep. 2, itr 6500, error 215.1424553, diff 0.003590
    percep. 2, itr 6600, error 214.7867570, diff 0.003525
    percep. 2, itr 6700, error 214.4373688, diff 0.003463
    percep. 2, itr 6800, error 214.0940967, diff 0.003403
    percep. 2, itr 6900, error 213.7567553, diff 0.003345
